student,strain,duration
T,N2,2:09
T,N2,3:35
T,N2,3:55
T,N2,3:21
T,N2,2:49
T,N2,7:02
T,N2,5:32
T,N2,4:44
T,N2,7:29
T,N2,4:38
T,N2,5:11
T,N2,5:23
T,N2,5:28
T,N2,6:02
T,N2,6:23
T,N2,5:10
T,N2,5:33
T,polg,12:05
T,polg,7:37
T,polg,6:57
T,polg,4:29
T,polg,7:56
T,polg,8:03
T,polg,8:07
T,polg,7:35
T,polg,5:33
T,polg,6:47
T,polg,9:20
T,polg,6:12
T,polg,5:38
T,polg,6:51
T,polg,6:15
T,polg,7:52
T,polg,9:43
T,polg,7:15
T,polg,8:21
T,polg,6:44
T,polg,7:34
T,polg,7:02
T,polg,8:22
T,polg,7:21
T,polg,6:27
T,polg,7:05
T,polg,5:55
T,polg,5:59
T,polg,6:33
T,polg,5:46
T,polg,6:02
T,polg,6:00
T,polg,5:45
T,polg,5:29
T,polg,5:22
T,polg,5:11
T,polg,4:21
T,polg,4:36
T,polg,4:03
T,polg,5:21
S,N2,3:02
S,N2,3:40
S,N2,2:50
S,N2,3:24
S,N2,3:50
S,N2,4:10
S,N2,3:20
S,N2,3:55
S,N2,4:05
S,N2,5:25
S,N2,7:35
S,N2,5:55
S,N2,5:31
S,N2,5:27
S,N2,4:25
S,N2,6:05
S,N2,6:51
S,N2,4:54
S,N2,6:12
S,N2,5:45
S,N2,5:03
S,N2,4:12
S,N2,5:23
S,N2,5:32
S,N2,6:27
S,polg,1:00
S,polg,3:20
S,polg,4:10
S,polg,5:33
S,polg,6:20
S,polg,3:50
S,polg,5:11
S,polg,6:41
S,polg,5:57
S,polg,5:45
S,polg,6:05
S,polg,7:10
S,polg,5:22
S,polg,6:30
S,polg,6:55
S,polg,7:35
S,polg,6:21
S,polg,6:38
S,polg,7:01
S,polg,6:54
