,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00000001,"dauer induction variant, hermaphrodite sterile","dauer formation variant, DMPP resistant, extended life span, slow development, thermotolerance increased"
WBGene00000002,"chemical resistant, life span phenotype, metal response variant",N.A.
WBGene00000003,"chemical resistant, metal response variant",N.A.
WBGene00000004,"chemical resistant, fat content increased, metal response variant",N.A.
WBGene00000005,"gonad development variant, male gonad development variant, male somatic gonad development variant, pattern of transgene expression variant",N.A.
WBGene00000006,N.A.,N.A.
WBGene00000007,hermaphrodite sterile,N.A.
WBGene00000008,N.A.,N.A.
WBGene00000009,"extended life span, paraquat resistant",N.A.
WBGene00000010,N.A.,N.A.
WBGene00000011,"embryonic lethal, larval arrest, locomotion variant, nuclear division variant, protruding vulva, sterile, vulvaless",N.A.
WBGene00000012,N.A.,N.A.
WBGene00000013,pathogen susceptibility increased,N.A.
WBGene00000014,N.A.,"organism pathogen response variant, pathogen susceptibility increased"
WBGene00000015,N.A.,N.A.
WBGene00000016,N.A.,N.A.
WBGene00000017,N.A.,N.A.
WBGene00000018,"apoptosis reduced, germ cell hypersensitive ionizing radiation, mitochondria alignment variant, organism ionizing radiation response variant, pathogen resistance increased, protein expression reduced","apoptosis variant, gamma ray induced apoptosis increased, genotoxic chemical induced apoptosis variant, lipid synthesis increased, protein subcellular localization variant"
WBGene00000019,N.A.,RNAi resistant
WBGene00000020,N.A.,N.A.
WBGene00000021,N.A.,N.A.
WBGene00000022,Bacillus thuringiensis toxin resistant,N.A.
WBGene00000023,N.A.,N.A.
WBGene00000024,"dauer constitutive, L4 lethal, pathogen infected pharynx increase, pathogen susceptibility increased, shortened life span, thermotolerance reduced",N.A.
WBGene00000025,N.A.,N.A.
WBGene00000026,N.A.,N.A.
WBGene00000027,N.A.,N.A.
WBGene00000028,shortened life span,N.A.
WBGene00000029,"dauer constitutive, developmental delay, feeding reduced, pathogen susceptibility increased, slow growth, stuffed pharynx",N.A.
WBGene00000030,"dauer constitutive, developmental delay, feeding reduced, pathogen susceptibility increased, slow growth, stuffed pharynx",N.A.
WBGene00000031,"dauer constitutive, developmental delay, feeding reduced, pathogen susceptibility increased, slow growth, stuffed pharynx",N.A.
WBGene00000032,N.A.,N.A.
WBGene00000033,N.A.,N.A.
WBGene00000034,"pathogen infected pharynx increase, pathogen susceptibility increased, shortened life span, thermotolerance reduced",N.A.
WBGene00000035,N.A.,"acetylcholinesterase activity variant, acetylcholinesterase inhibitor resistant, acetylcholinesterase reduced, detergent hypersensitive, dopamine resistant, enzyme activity reduced, feeding reduced, slowing response on food variant"
WBGene00000036,N.A.,"acetylcholinesterase activity variant, acetylcholinesterase inhibitor resistant, acetylcholinesterase reduced, detergent hypersensitive, enzyme activity reduced, locomotion variant, slowing response on food variant"
WBGene00000037,dauer lifespan extended,"acetylcholinesterase activity variant, acetylcholinesterase reduced"
WBGene00000038,"dauer lifespan extended, sterile","acetylcholinesterase activity variant, acetylcholinesterase reduced"
WBGene00000039,"alae variant, egg laying variant, extended life span, foraging behavior variant, L1 arrest, L2 arrest, larval arrest, larval lethal, locomotion variant, male tail morphology variant, molt defect, paralyzed, protein aggregation variant, protruding vulva, seam cell fusion variant, slow growth, small, sterile, transgene subcellular localization variant","embryonic lethal, lethal, sterile"
WBGene00000040,"pathogen resistance increased, reduced pathogen accumulation","iron homeostasis variant, life span phenotype, reduced brood size"
WBGene00000041,"embryonic lethal, extended life span, foraging behavior variant, general pace of development defective early emb, germ cell compartment morphology variant, germline nuclear positioning variant, gonad vesiculated, larval arrest, locomotion variant, maternal sterile, oocyte number decreased, oocyte septum formation variant, protruding vulva, rachis wide, RNAi resistant, somatic transgene silencing variant, sterile, transgene expression increased, transposon silencing variant",N.A.
WBGene00000042,N.A.,"acetylcholine synaptic transmission variant, aldicarb hypersensitive, aldicarb resistant, amplitude of sinusoidal movement increased, backward locomotion variant, backward point velocity increased, body posture amplitude increased, body posture wavelength increased, coiling frequency increased, fat, forward locomotion increased, forward point velocity increased, frequency of body bend variant, GABA synaptic transmission variant, head bend angle increased, levamisole hypersensitive, locomotion variant, long, nose movement increased, path curvature decreased, pausing decreased, roaming increased, somatic gonad morphology variant, spastic locomotion, sterile, tail bend angle increased, turning frequency variant, velocity of movement decreased"
WBGene00000043,N.A.,"amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture amplitude variant, body posture wavelength decreased, coiling frequency increased, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, nose movement increased, path curvature decreased, pausing decreased, roaming increased, tail bend angle increased, turning frequency variant"
WBGene00000044,N.A.,"associative learning variant, nicotine response variant, organism behavior variant"
WBGene00000045,"embryonic lethal, larval arrest","amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture amplitude variant, body posture wavelength decreased, coiling frequency increased, fat, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, nose movement increased, path curvature variant, pausing decreased, roaming increased, tail bend angle variant, turning frequency variant"
WBGene00000046,N.A.,"amplitude of sinusoidal movement variant, backing decreased, backward point velocity decreased, body posture wavelength increased, coiling frequency variant, forward point velocity decreased, frequency body bend reduced, head bend angle increased, long, nose movement increased, tail bend angle variant, turning frequency variant"
WBGene00000047,N.A.,nicotine resistant
WBGene00000048,N.A.,"amplitude of sinusoidal movement variant, backing increased, backward point velocity increased, body posture amplitude increased, body posture wavelength decreased, coiling frequency increased, DMPP response variant, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, lethal, nicotine response variant, nose movement variant, path curvature decreased, pausing decreased, sterile, tail bend angle variant, thin, turning frequency variant"
WBGene00000049,locomotion variant,"amplitude of sinusoidal movement increased, backward locomotion variant, backward point velocity increased, body posture amplitude variant, fat, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle variant, nose movement increased, path curvature decreased, pausing decreased, roaming increased, tail bend angle increased, turning frequency variant"
WBGene00000050,N.A.,"amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture wavelength decreased, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, nicotine response variant, nose movement increased, path curvature decreased, pausing decreased, roaming increased, tail bend angle variant, turning frequency variant"
WBGene00000051,N.A.,"aldicarb hypersensitive, evoked postsynaptic current variant, sinusoidal movement variant, velocity of movement decreased"
WBGene00000053,locomotion variant,"body posture amplitude increased, coiling frequency increased, fat, frequency of body bend variant, head bend angle increased, nose movement decreased, path curvature increased"
WBGene00000054,N.A.,"amplitude of sinusoidal movement variant, associative learning variant, backing decreased, backward point velocity increased, body posture wavelength decreased, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle variant, nicotine response variant, nose movement increased, organism behavior variant, pausing decreased, roaming increased, short, tail bend angle increased, thin, turning frequency variant"
WBGene00000055,"dauer lifespan extended, locomotion variant, transgene expression increased","acetylcholine synaptic transmission variant, antihelmintic response variant, evoked postsynaptic current variant, lethal, life span phenotype, nicotine response variant, sterile"
WBGene00000056,N.A.,N.A.
WBGene00000057,N.A.,"amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture amplitude decreased, body posture wavelength decreased, coiling frequency decreased, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle variant, nose movement variant, path curvature decreased, pausing decreased, roaming increased, short, tail bend angle increased, thin, turning frequency variant"
WBGene00000058,N.A.,"amplitude of sinusoidal movement variant, backing decreased, backward point velocity increased, body posture amplitude decreased, body posture wavelength decreased, coiling frequency decreased, fat, forward locomotion increased, frequency of body bend variant, head bend angle variant, nose movement variant, path curvature decreased, pausing decreased, roaming increased, short, tail bend angle decreased"
WBGene00000059,N.A.,N.A.
WBGene00000060,N.A.,"amplitude of sinusoidal movement variant, backward locomotion variant, backward point velocity increased, body posture amplitude variant, body posture wavelength decreased, coiling frequency decreased, fat, forward locomotion increased, forward point velocity increased, frequency of body bend variant, head bend angle increased, nicotine response variant, nose movement increased, path curvature decreased, pausing decreased, roaming increased, turning frequency variant"
WBGene00000061,"protein aggregation variant, transgene subcellular localization variant",N.A.
WBGene00000062,embryonic lethal,"AAD response variant, amplitude of sinusoidal movement variant, backing decreased, body posture amplitude increased, fat, forward point velocity increased, frequency of body bend variant, head bend angle variant, nose movement variant, roaming increased, tail bend angle increased, velocity of movement increased"
WBGene00000063,"avoids bacterial lawn, body wall muscle myosin organization defective, body wall muscle sarcomere morphology variant, cytokinesis variant emb, cytoplasmic processing body variant, dead eggs laid, distal tip cell migration variant, embryonic lethal, germ cell morphology variant, growth variant, larval arrest, larval lethal, lethal, life span phenotype, locomotion variant, maternal sterile, mitochondria alignment variant, paralyzed, pattern of transgene expression variant, protein aggregation variant, protein expression reduced, protruding vulva, receptor mediated endocytosis defective, reduced brood size, shortened life span, slow growth, sterile, transgene expression increased, transgene expression reduced, transgene subcellular localization variant","body wall muscle thin filament variant, locomotion reduced, slow growth, small"
WBGene00000064,"avoids bacterial lawn, body wall muscle myosin organization defective, body wall muscle sarcomere morphology variant, cytokinesis variant emb, cytoplasmic processing body variant, dead eggs laid, distal tip cell migration variant, embryonic lethal, germ cell morphology variant, growth variant, larval arrest, larval lethal, lethal, locomotion variant, maternal sterile, mitochondria alignment variant, paralyzed, pattern of transgene expression variant, protein aggregation variant, protein expression reduced, protruding vulva, receptor mediated endocytosis defective, reduced brood size, sick, slow growth, sterile, thin, transgene expression increased, transgene subcellular localization variant",N.A.
WBGene00000065,"avoids bacterial lawn, body wall muscle myosin organization defective, body wall muscle sarcomere morphology variant, cytokinesis variant emb, cytoplasmic processing body variant, dead eggs laid, distal tip cell migration variant, embryonic lethal, germ cell morphology variant, growth variant, larval arrest, lethal, locomotion variant, maternal sterile, mitochondria alignment variant, paralyzed, pattern of transgene expression variant, protein aggregation variant, protein expression reduced, protruding vulva, receptor mediated endocytosis defective, reduced brood size, slow growth, sterile, transgene expression increased, transgene subcellular localization variant","body wall muscle thin filament variant, locomotion reduced, slow growth, small"
WBGene00000066,"apoptosis fails to occur, apoptosis reduced, cell membrane organization biogenesis variant, chromosome condensation variant, cytokinesis variant emb, distal tip cell migration variant, embryonic lethal, germ cell compartment multinucleate, germ cell compartment size variant, germ cell morphology variant, germ cell partition absent, germ cell partition morphology variant, germline nuclear positioning variant, larval arrest, life span phenotype, locomotion variant, maternal sterile, multiple nuclei oocyte, no oocytes, nuclear appearance variant, nuclear fallout, nuclei small, oocyte number decreased, oocyte septum formation variant, protein aggregation variant, protruding vulva, rachis wide, reduced brood size, shortened life span, sterile, transgene subcellular localization variant",N.A.
WBGene00000067,"apoptosis reduced, asymmetric cell division defective early emb, avoids bacterial lawn, cell membrane organization biogenesis variant, chromosome condensation variant, dead eggs laid, diakinesis progression during oogenesis variant, diplotene region organization variant, embryonic lethal, fat associated bodies reduced, foraging behavior variant, germ cell compartment expansion variant, germ cell compartment multinucleate, germ cell compartment size variant, germline nuclear positioning variant, growth rate variant, intestinal development variant, intestinal microvilli variant, L1 arrest, larval arrest, lethal, maternal sterile, meiotic progression during oogenesis variant, multiple nuclei oocyte, nuclei small, oocyte morphology variant, pathogen release reduced, pattern of transgene expression variant, protruding vulva, rachis narrow, receptor mediated endocytosis defective, sick, slow growth, sterile, transgene subcellular localization variant","lethal, pathogen release reduced"
WBGene00000068,"aldicarb resistant, serotonin induced pumping variant, transgene expression reduced","antimicrobial gene expression variant, axon regeneration defective, feeding reduced, hyperactive, lethal, levamisole hypersensitive, light response variant, pathogen susceptibility increased, quiescence variant, sterile, thrashing reduced"
WBGene00000069,"locomotion variant, long, pale, thin","lethal, sterile"
WBGene00000070,"fat content reduced, gene expression level high, mitochondrial content variant, mitochondrial metabolism variant, organism development variant, organism oxidative stress response variant, oxygen consumption increased, paraquat resistant, protein aggregation variant",N.A.
